date,count,cgt,dwt,gt,amount_m
1996-01-01,230,2226617.08,3254558.0,2587455.0,5166.15
1996-02-01,81,1221514.76,3206706.0,2057968.0,2642.01
1996-03-01,74,917956.35,2378580.0,1504924.0,2190.21
1996-04-01,132,1723296.87,3665634.0,2411190.0,3347.29
1996-05-01,63,815331.44,1755357.0,1186605.0,1855.72
1996-06-01,87,1100058.64,1994135.0,1485772.0,2159.38
1996-07-01,123,1936069.36,4214210.0,2901349.0,4288.24
1996-08-01,74,1117937.65,2706298.0,1740676.0,2490.88
1996-09-01,62,1014850.12,1858987.0,1454249.0,2215.53
1996-10-01,104,1316113.56,3092564.0,2047298.0,2445.57
1996-11-01,93,1674626.88,4092662.0,2811831.0,3645.64
1996-12-01,106,1763849.78,4125978.0,2830615.0,3567.02
1997-01-01,196,2630219.35,5188332.0,3803111.0,5407.8
1997-02-01,78,1282038.53,4396814.0,2520045.0,2403.13
1997-03-01,84,1122296.39,2668196.0,1763165.0,2241.06
1997-04-01,140,2100848.11,6731916.0,3981791.0,3889.49
1997-05-01,85,1468474.99,4913227.0,2836520.0,2566.16
1997-06-01,95,1532237.87,4409114.0,2734655.0,2913.91
1997-07-01,124,1508647.18,3909271.0,2313501.0,2997.54
1997-08-01,62,1425351.36,3394427.0,2584654.0,3052.71
1997-09-01,89,1623266.62,6230613.0,3551705.0,3250.3
1997-10-01,147,2334952.57,5253939.0,3854173.0,4783.06
1997-11-01,56,733237.25,1815908.0,1132467.0,1636.34
1997-12-01,126,1990967.85,4024284.0,2774396.0,4903.02
1998-01-01,186,2020380.5,4250380.0,2966966.0,4123.87
1998-02-01,58,1163014.25,1930857.0,1635759.0,3033.6
1998-03-01,127,1841764.62,3627445.0,2878433.0,3311.07
1998-04-01,81,1489124.85,2907393.0,2067226.0,4164.3
1998-05-01,58,1091660.4,2387538.0,1744775.0,2036.7
1998-06-01,107,2244093.91,4570472.0,3584152.0,4753.72
1998-07-01,147,1913755.41,3941002.0,2833648.0,3818.9
1998-08-01,49,853599.3,1979455.0,1322008.0,1995.53
1998-09-01,65,1004084.56,2260591.0,1535297.0,2519.7
1998-10-01,78,1481538.92,5315562.0,3177600.0,2570.42
1998-11-01,32,594744.73,1549582.0,1011557.0,1019.67
1998-12-01,59,860134.98,2350231.0,1501319.0,1471.02
1999-01-01,153,1551560.46,2987886.0,2085404.0,2553.07
1999-02-01,18,462469.25,610352.0,646567.0,986.2
1999-03-01,45,707629.74,905491.0,819125.0,1608.83
1999-04-01,69,1254683.92,2808987.0,2039171.0,2194.01
1999-05-01,52,1221606.04,2070614.0,1724863.0,2637.2
1999-06-01,74,1471333.95,3039184.0,2196027.0,2786.13
1999-07-01,134,2407333.93,5891197.0,4112272.0,4418.37
1999-08-01,64,1394619.17,3794370.0,2524201.0,2448.69
1999-09-01,76,1426697.62,4771519.0,2875688.0,2150.98
1999-10-01,130,2108362.4,6391852.0,3952081.0,3370.61
1999-11-01,79,1800158.48,4316920.0,2999405.0,3609.78
1999-12-01,115,2282934.03,6077319.0,4181953.0,3800.01
2000-01-01,211,2904042.16,7638511.0,5097471.0,5692.2
2000-02-01,68,1649059.41,4399346.0,3061529.0,2991.72
2000-03-01,145,2713810.92,6908623.0,4667182.0,4715.13
2000-04-01,127,2611844.77,7733964.0,4914989.0,4560.33
2000-05-01,83,1919381.07,3899357.0,2898510.0,3935.69
2000-06-01,147,3287757.89,9682667.0,6392720.0,5650.64
2000-07-01,87,1734946.23,4136234.0,2910242.0,3109.0
2000-08-01,102,2113111.44,5437711.0,3696200.0,4694.98
2000-09-01,91,1617754.21,4054999.0,2674864.0,3314.09
2000-10-01,108,2159693.65,5842669.0,3925227.0,4545.61
2000-11-01,107,2062775.67,4360164.0,3181018.0,4277.48
2000-12-01,89,1798451.1,4933411.0,3274711.0,3690.35
2001-01-01,248,2701503.67,4907282.0,3532660.0,6868.35
2001-02-01,104,1856300.46,4860638.0,3328764.0,3038.69
2001-03-01,117,2234564.67,5499749.0,3790852.0,4254.95
2001-04-01,87,2245000.09,6014464.0,4021244.0,4099.22
2001-05-01,76,1649784.62,3767569.0,2714697.0,3013.41
2001-06-01,100,1672526.45,4585428.0,2805125.0,2674.91
2001-07-01,90,1423538.84,3794184.0,2294496.0,3113.96
2001-08-01,83,1282428.37,3959688.0,2320115.0,2069.34
2001-09-01,60,1197195.98,3636159.0,2197323.0,2370.54
2001-10-01,80,1113777.84,2724910.0,1713434.0,1648.04
2001-11-01,54,670265.24,1355167.0,881991.0,1141.59
2001-12-01,63,837434.02,1603486.0,1250915.0,1591.98
2002-01-01,269,2337819.78,4384144.0,2889527.0,4071.27
2002-02-01,39,596534.82,1562696.0,940583.0,903.36
2002-03-01,86,1774178.58,3389212.0,2641481.0,2896.66
2002-04-01,109,1865637.39,6207182.0,3674667.0,2744.22
2002-05-01,76,1299488.62,3551951.0,2182817.0,1960.23
2002-06-01,97,2041005.6,5449074.0,3738514.0,3109.48
2002-07-01,133,2546874.09,5072978.0,3897307.0,5108.96
2002-08-01,69,1217045.66,2890703.0,1955020.0,1740.88
2002-09-01,106,1551793.73,4948800.0,2815590.0,2215.0
2002-10-01,132,2281007.67,6219687.0,3894846.0,4082.33
2002-11-01,68,1233883.01,3224102.0,2155839.0,2200.1
2002-12-01,120,2192784.06,7138775.0,4437963.0,3175.89
2003-01-01,390,4345586.89,11624158.0,7230667.0,7258.21
2003-02-01,126,3242355.04,9154676.0,6465101.0,4925.96
2003-03-01,155,2689889.35,8973327.0,5246168.0,3952.17
2003-04-01,178,3489476.58,8506989.0,5831999.0,5883.04
2003-05-01,146,3198980.59,9606849.0,6274386.0,5229.45
2003-06-01,170,3435534.59,12033040.0,7002292.0,5476.14
2003-07-01,247,5191054.04,14425572.0,9736136.0,8365.6
2003-08-01,112,2049154.67,4231771.0,3270055.0,3226.52
2003-09-01,161,3605833.6,8696882.0,6505408.0,6703.9
2003-10-01,228,4676650.06,11288908.0,7781623.0,9324.42
2003-11-01,138,3000708.89,7680747.0,5444775.0,5134.63
2003-12-01,216,3911811.81,12240007.0,7550029.0,6590.89
2004-01-01,618,6538100.98,13299289.0,9289355.0,10696.59
2004-02-01,150,3125286.92,8664232.0,5768872.0,6084.75
2004-03-01,174,4274141.21,11288594.0,8112818.0,8596.2
2004-04-01,212,4236299.87,11205843.0,7423406.0,8263.62
2004-05-01,120,3031286.37,5968669.0,4513215.0,6350.57
2004-06-01,156,2727298.73,7221075.0,4595271.0,5140.61
2004-07-01,228,3818659.11,10400093.0,6678408.0,7670.93
2004-08-01,124,2576524.56,4986486.0,4061301.0,5091.63
2004-09-01,183,5227914.12,10200992.0,8143016.0,13040.06
2004-10-01,210,3441630.62,7525270.0,5259894.0,7780.81
2004-11-01,171,3517844.7,7784302.0,5964316.0,7529.31
2004-12-01,204,3506843.53,8622511.0,5947905.0,7943.15
2005-01-01,840,9465934.73,21421889.0,13988385.0,19874.21
2005-02-01,180,3000046.39,7031623.0,4939230.0,8489.37
2005-03-01,229,4650837.32,9346539.0,7409680.0,12238.56
2005-04-01,234,3954512.72,7583555.0,5675540.0,10849.26
2005-05-01,258,4276070.25,9641096.0,6968753.0,10964.53
2005-06-01,211,3337476.33,6646395.0,4845506.0,8553.56
2005-07-01,233,4525454.42,8371059.0,6581118.0,11489.37
2005-08-01,133,2164531.04,4039646.0,3234498.0,5231.01
2005-09-01,116,1797868.25,2955929.0,2451398.0,4274.5
2005-10-01,153,2425497.6,5650726.0,3837265.0,6185.0
2005-11-01,131,2430008.54,4802479.0,3634546.0,6616.33
2005-12-01,219,3661866.57,7978146.0,5664739.0,9648.24
2006-01-01,951,9050768.03,19209784.0,12140167.0,18515.27
2006-02-01,175,3489497.99,11389129.0,7011836.0,9844.76
2006-03-01,513,10978814.21,36370462.0,21834654.0,28140.72
2006-04-01,279,4443161.69,9915342.0,6829483.0,11983.27
2006-05-01,166,3383560.98,7371985.0,5541960.0,7796.9
2006-06-01,276,5843232.22,13781034.0,10382563.0,14544.64
2006-07-01,353,6069253.76,15633595.0,10030489.0,16014.7
2006-08-01,196,3948065.81,11490078.0,7538975.0,9802.68
2006-09-01,264,5429055.26,16692795.0,10648729.0,15541.94
2006-10-01,315,5478757.41,15140509.0,9656830.0,14073.2
2006-11-01,342,6440872.85,22436719.0,12967900.0,15949.64
2006-12-01,620,10414224.68,31699656.0,19333787.0,26843.68
2007-01-01,974,9351740.1,19485370.0,12660165.0,22320.87
2007-02-01,265,5122053.3,12533627.0,8818740.0,14152.85
2007-03-01,395,7371144.54,20008226.0,13018010.0,20013.04
2007-04-01,391,7439581.42,20164353.0,13364421.0,22095.29
2007-05-01,411,8404520.15,26019964.0,16895494.0,22853.59
2007-06-01,443,8698329.05,25985218.0,17012145.0,25242.63
2007-07-01,577,9795450.59,24983545.0,17242147.0,26910.24
2007-08-01,329,7504192.77,23639622.0,16002421.0,24181.04
2007-09-01,374,6990177.96,20807738.0,13414311.0,20884.41
2007-10-01,379,7640395.33,22496440.0,14539019.0,22633.46
2007-11-01,315,5770810.0,19240732.0,11584330.0,16703.16
2007-12-01,577,9110990.63,27173838.0,16906119.0,25727.63
2008-01-01,975,10866976.14,27590240.0,17430170.0,32942.55
2008-02-01,260,4957061.51,13874157.0,9537607.0,16288.51
2008-03-01,311,5301757.68,17134737.0,10410197.0,16746.66
2008-04-01,322,5843952.15,23465496.0,13147844.0,18445.4
2008-05-01,304,5132978.49,18270251.0,10875372.0,15467.43
2008-06-01,395,7182820.42,20917426.0,13635502.0,24023.89
2008-07-01,359,6606099.29,25170009.0,14462430.0,23890.3
2008-08-01,194,3874078.86,16802603.0,9339150.0,12799.73
2008-09-01,212,3432270.11,12154035.0,6977834.0,11581.54
2008-10-01,94,1365421.85,4123311.0,2421768.0,3953.27
2008-11-01,42,685800.25,1392231.0,1047126.0,4140.4
2008-12-01,55,699388.94,1405837.0,894031.0,1657.96
2009-01-01,625,4803327.68,9453163.0,6011259.0,10280.65
2009-02-01,48,841929.06,3347530.0,1838638.0,3034.32
2009-03-01,36,559604.57,1460236.0,986348.0,1460.5
2009-04-01,45,539114.81,704193.0,634181.0,1253.79
2009-05-01,23,346152.1,913507.0,546991.0,802.5
2009-06-01,54,783896.35,2663371.0,1535492.0,3273.86
2009-07-01,105,1776002.01,6705205.0,3792161.0,4745.3
2009-08-01,81,1883047.02,8280660.0,4821035.0,3838.0
2009-09-01,60,801839.81,2444838.0,1438505.0,1997.65
2009-10-01,91,1716111.71,8388788.0,4417497.0,3200.46
2009-11-01,70,1270019.39,5737707.0,3077573.0,2769.9
2009-12-01,129,2551811.35,7797074.0,4811299.0,5528.05
2010-01-01,744,6863867.13,16997079.0,10329105.0,16722.22
2010-02-01,129,2396824.26,7312628.0,4534348.0,5676.28
2010-03-01,177,3353966.9,12254723.0,7178727.0,10511.06
2010-04-01,197,3547358.29,12349541.0,7282919.0,7255.77
2010-05-01,197,3984210.95,15167830.0,8666220.0,8062.5
2010-06-01,290,5029815.93,17789126.0,10495407.0,10873.54
2010-07-01,213,4484906.16,15841214.0,9665090.0,8915.91
2010-08-01,159,3199312.51,12491411.0,7165497.0,7840.59
2010-09-01,192,3996854.14,13548508.0,8458869.0,8352.13
2010-10-01,128,2453464.93,7437952.0,4718982.0,6904.93
2010-11-01,188,3342504.83,10104636.0,6242876.0,10082.68
2010-12-01,282,4784242.56,16037685.0,9767064.0,10102.97
2011-01-01,515,5540871.57,14150127.0,8795333.0,14906.71
2011-02-01,117,2997493.69,7377429.0,5853868.0,12868.05
2011-03-01,141,3095517.01,7426326.0,5635103.0,8702.18
2011-04-01,158,3503003.42,8682996.0,6165112.0,10490.35
2011-05-01,141,3290895.23,6909095.0,5481917.0,9624.37
2011-06-01,189,5274916.13,13291536.0,10524247.0,13954.39
2011-07-01,127,2890314.77,5179802.0,4064659.0,6359.18
2011-08-01,92,2308183.96,5001537.0,3903983.0,6500.01
2011-09-01,106,1764536.78,3984312.0,2794838.0,5980.81
2011-10-01,104,1805364.6,3808385.0,2996311.0,4590.32
2011-11-01,133,2185310.58,5419359.0,3736839.0,6985.22
2011-12-01,114,1971542.76,5775022.0,3545366.0,4445.62
2012-01-01,381,3061865.72,7486670.0,4577315.0,6531.3
2012-02-01,82,2102291.82,3764469.0,3005584.0,7191.15
2012-03-01,102,1882893.24,3696991.0,2704138.0,7782.47
2012-04-01,95,1669138.71,3315037.0,2404072.0,4459.17
2012-05-01,109,1761840.09,4676039.0,2998285.0,4673.1
2012-06-01,166,2692159.51,5462069.0,4044660.0,8278.21
2012-07-01,124,2497750.35,4480258.0,4056028.0,9670.2
2012-08-01,112,2077186.74,4276366.0,3288013.0,11319.72
2012-09-01,108,2397814.69,4087238.0,3778641.0,10743.59
2012-10-01,99,1664966.36,2879770.0,2405252.0,5799.2
2012-11-01,83,1459992.76,2475604.0,2231066.0,5178.73
2012-12-01,156,3411374.17,8113591.0,5636175.0,9788.51
