date,production
1995-01-01,61031.61
1995-02-01,57584.56
1995-03-01,64290.47
1995-04-01,62668.62
1995-05-01,64021.81
1995-06-01,61386.36
1995-07-01,60649.55
1995-08-01,59628.65
1995-09-01,60754.33
1995-10-01,62547.71
1995-11-01,60051.2
1995-12-01,58165.61
1996-01-01,59849.96
1996-02-01,56986.37
1996-03-01,63320.04
1996-04-01,61016.52
1996-05-01,62595.68
1996-06-01,61008.23
1996-07-01,59759.33
1996-08-01,59824.95
1996-09-01,61120.72
1996-10-01,63273.63
1996-11-01,61949.15
1996-12-01,61611.49
1997-01-01,61427.99
1997-02-01,59197.59
1997-03-01,66970.47
1997-04-01,65699.78
1997-05-01,67243.27
1997-06-01,65280.74
1997-07-01,64355.93
1997-08-01,64089.98
1997-09-01,65375.18
1997-10-01,67294.0
1997-11-01,65778.0
1997-12-01,65219.0
1998-01-01,65469.0
1998-02-01,61576.0
1998-03-01,68096.0
1998-04-01,65108.0
1998-05-01,66901.0
1998-06-01,64120.0
1998-07-01,63291.0
1998-08-01,62239.0
1998-09-01,61496.0
1998-10-01,63045.0
1998-11-01,59999.0
1998-12-01,60029.0
1999-01-01,60904.0
1999-02-01,57221.0
1999-03-01,63525.0
1999-04-01,62828.0
1999-05-01,65320.0
1999-06-01,63723.0
1999-07-01,64790.0
1999-08-01,64331.0
1999-09-01,65195.0
1999-10-01,68518.0
1999-11-01,67298.0
1999-12-01,66545.0
2000-01-01,67472.0
2000-02-01,65564.0
2000-03-01,70775.0
2000-04-01,69190.0
2000-05-01,72197.0
2000-06-01,69066.0
2000-07-01,70518.0
2000-08-01,67733.0
2000-09-01,68327.0
2000-10-01,70862.0
2000-11-01,68347.0
2000-12-01,68214.0
2001-01-01,69107.0
2001-02-01,64529.0
2001-03-01,71502.0
2001-04-01,69539.0
2001-05-01,70861.0
2001-06-01,69460.0
2001-07-01,68886.0
2001-08-01,67799.0
2001-09-01,69072.0
2001-10-01,70364.0
2001-11-01,67387.0
2001-12-01,66086.0
2002-01-01,69220.0
2002-02-01,66290.0
2002-03-01,73796.0
2002-04-01,71986.82
2002-05-01,75387.23
2002-06-01,74369.0
2002-07-01,74245.0
2002-08-01,74329.0
2002-09-01,75404.0
2002-10-01,77347.0
2002-11-01,75589.0
2002-12-01,75626.0
2003-01-01,76122.0
2003-02-01,71486.0
2003-03-01,80063.0
