date,type,price
2020-12-31,VLCC(320K),85.23
2020-12-31,SUEZMAX(160K),55.49
2020-12-31,AFRAMAX(110K),45.34
2020-12-31,LR2(110K),46.43
2020-12-31,LR1(74K),40.67
2020-12-31,MR(50K),33.62
2020-12-17,VLCC(320K),85.19
2020-12-17,SUEZMAX(160K),55.35
2020-12-17,AFRAMAX(110K),45.28
2020-12-17,LR2(110K),46.53
2020-12-17,LR1(74K),40.64
2020-12-17,MR(50K),33.53
2020-12-10,VLCC(320K),85.07
2020-12-10,SUEZMAX(160K),55.25
2020-12-10,AFRAMAX(110K),45.25
2020-12-10,LR2(110K),46.48
2020-12-10,LR1(74K),40.5
2020-12-10,MR(50K),33.41
2020-12-03,VLCC(320K),85.12
2020-12-03,SUEZMAX(160K),55.33
2020-12-03,AFRAMAX(110K),45.37
2020-12-03,LR2(110K),46.59
2020-12-03,LR1(74K),40.5
2020-12-03,MR(50K),33.52
2020-11-26,VLCC(320K),85.17
2020-11-26,SUEZMAX(160K),55.45
2020-11-26,AFRAMAX(110K),45.47
2020-11-26,LR2(110K),46.68
2020-11-26,LR1(74K),40.5
2020-11-26,MR(50K),33.52
2020-11-19,VLCC(320K),85.12
2020-11-19,SUEZMAX(160K),55.13
2020-11-19,AFRAMAX(110K),45.29
2020-11-19,LR2(110K),46.6
2020-11-19,LR1(74K),40.52
2020-11-19,MR(50K),33.44
2020-11-12,VLCC(320K),85.04
2020-11-12,SUEZMAX(160K),55.1
2020-11-12,AFRAMAX(110K),45.23
2020-11-12,LR2(110K),46.59
2020-11-12,LR1(74K),40.52
2020-11-12,MR(50K),33.45
2020-11-05,VLCC(320K),85.13
2020-11-05,SUEZMAX(160K),55.04
2020-11-05,AFRAMAX(110K),45.07
2020-11-05,LR2(110K),46.46
2020-11-05,LR1(74K),40.53
2020-11-05,MR(50K),33.48
2020-10-29,VLCC(320K),85.01
2020-10-29,SUEZMAX(160K),54.99
2020-10-29,AFRAMAX(110K),45.15
2020-10-29,LR2(110K),46.38
2020-10-29,LR1(74K),40.43
2020-10-29,MR(50K),33.43
2020-10-22,VLCC(320K),85.05
2020-10-22,SUEZMAX(160K),55.03
2020-10-22,AFRAMAX(110K),45.02
2020-10-22,LR2(110K),46.11
2020-10-22,LR1(74K),40.4
2020-10-22,MR(50K),33.36
2020-10-15,VLCC(320K),84.9
2020-10-15,SUEZMAX(160K),54.87
2020-10-15,AFRAMAX(110K),44.89
2020-10-15,LR2(110K),46.04
2020-10-15,LR1(74K),40.42
2020-10-15,MR(50K),33.3
2020-10-08,VLCC(320K),85.15
2020-10-08,SUEZMAX(160K),54.91
2020-10-08,AFRAMAX(110K),45.12
2020-10-08,LR2(110K),46.27
2020-10-08,LR1(74K),40.54
2020-10-08,MR(50K),33.29
2020-09-24,VLCC(320K),85.26
2020-09-24,SUEZMAX(160K),55.05
2020-09-24,AFRAMAX(110K),45.37
2020-09-24,LR2(110K),46.55
2020-09-24,LR1(74K),40.6
2020-09-24,MR(50K),33.47
2020-09-17,VLCC(320K),85.38
2020-09-17,SUEZMAX(160K),55.18
2020-09-17,AFRAMAX(110K),45.36
2020-09-17,LR2(110K),46.5
2020-09-17,LR1(74K),40.78
2020-09-17,MR(50K),33.48
2020-09-10,VLCC(320K),85.55
2020-09-10,SUEZMAX(160K),55.24
2020-09-10,AFRAMAX(110K),45.4
2020-09-10,LR2(110K),46.72
2020-09-10,LR1(74K),41.08
2020-09-10,MR(50K),33.51
2020-09-03,VLCC(320K),85.52
2020-09-03,SUEZMAX(160K),55.22
2020-09-03,AFRAMAX(110K),45.43
2020-09-03,LR2(110K),46.75
2020-09-03,LR1(74K),41.12
2020-09-03,MR(50K),33.5
2020-08-27,VLCC(320K),85.6
2020-08-27,SUEZMAX(160K),55.42
2020-08-27,AFRAMAX(110K),45.58
2020-08-27,LR2(110K),46.89
2020-08-27,LR1(74K),41.3
2020-08-27,MR(50K),33.58
2020-08-20,VLCC(320K),85.82
2020-08-20,SUEZMAX(160K),55.65
2020-08-20,AFRAMAX(110K),45.67
2020-08-20,LR2(110K),47.02
2020-08-20,LR1(74K),41.3
2020-08-20,MR(50K),33.59
2020-08-13,VLCC(320K),85.85
2020-08-13,SUEZMAX(160K),55.76
2020-08-13,AFRAMAX(110K),45.69
2020-08-13,LR2(110K),47.04
2020-08-13,LR1(74K),41.32
2020-08-13,MR(50K),33.51
2020-08-06,VLCC(320K),85.91
2020-08-06,SUEZMAX(160K),55.88
2020-08-06,AFRAMAX(110K),45.72
2020-08-06,LR2(110K),46.99
2020-08-06,LR1(74K),41.29
2020-08-06,MR(50K),33.54
2020-07-30,VLCC(320K),86.07
2020-07-30,SUEZMAX(160K),55.95
2020-07-30,AFRAMAX(110K),45.75
2020-07-30,LR2(110K),47.0
2020-07-30,LR1(74K),41.24
2020-07-30,MR(50K),33.58
2020-07-23,VLCC(320K),86.12
2020-07-23,SUEZMAX(160K),56.12
2020-07-23,AFRAMAX(110K),45.82
2020-07-23,LR2(110K),47.06
2020-07-23,LR1(74K),41.11
2020-07-23,MR(50K),33.72
2020-07-16,VLCC(320K),86.35
2020-07-16,SUEZMAX(160K),56.26
2020-07-16,AFRAMAX(110K),45.84
2020-07-16,LR2(110K),47.11
2020-07-16,LR1(74K),41.27
2020-07-16,MR(50K),33.73
2020-07-09,VLCC(320K),86.37
2020-07-09,SUEZMAX(160K),56.28
2020-07-09,AFRAMAX(110K),45.85
2020-07-09,LR2(110K),47.1
2020-07-09,LR1(74K),41.22
2020-07-09,MR(50K),33.62
2020-07-02,VLCC(320K),86.11
2020-07-02,SUEZMAX(160K),56.24
2020-07-02,AFRAMAX(110K),45.76
2020-07-02,LR2(110K),47.01
2020-07-02,LR1(74K),41.07
2020-07-02,MR(50K),33.64
2020-06-25,VLCC(320K),86.06
2020-06-25,SUEZMAX(160K),56.25
2020-06-25,AFRAMAX(110K),45.66
2020-06-25,LR2(110K),46.87
2020-06-25,LR1(74K),40.9
2020-06-25,MR(50K),33.74
2020-06-18,VLCC(320K),86.52
2020-06-18,SUEZMAX(160K),56.72
2020-06-18,AFRAMAX(110K),46.06
2020-06-18,LR2(110K),47.28
2020-06-18,LR1(74K),41.51
2020-06-18,MR(50K),34.02
2020-06-11,VLCC(320K),86.46
2020-06-11,SUEZMAX(160K),56.66
2020-06-11,AFRAMAX(110K),46.09
2020-06-11,LR2(110K),47.35
2020-06-11,LR1(74K),41.48
2020-06-11,MR(50K),33.98
2020-06-04,VLCC(320K),86.76
2020-06-04,SUEZMAX(160K),56.85
2020-06-04,AFRAMAX(110K),46.22
2020-06-04,LR2(110K),47.51
2020-06-04,LR1(74K),41.66
2020-06-04,MR(50K),34.01
2020-05-28,VLCC(320K),87.4
2020-05-28,SUEZMAX(160K),57.36
2020-05-28,AFRAMAX(110K),46.39
2020-05-28,LR2(110K),47.59
2020-05-28,LR1(74K),41.86
2020-05-28,MR(50K),34.21
2020-05-21,VLCC(320K),87.83
2020-05-21,SUEZMAX(160K),57.62
2020-05-21,AFRAMAX(110K),46.55
2020-05-21,LR2(110K),47.72
2020-05-21,LR1(74K),41.84
2020-05-21,MR(50K),34.16
2020-05-14,VLCC(320K),88.11
2020-05-14,SUEZMAX(160K),57.94
2020-05-14,AFRAMAX(110K),46.71
2020-05-14,LR2(110K),47.87
2020-05-14,LR1(74K),42.03
2020-05-14,MR(50K),34.2
2020-05-07,VLCC(320K),88.36
2020-05-07,SUEZMAX(160K),58.03
2020-05-07,AFRAMAX(110K),46.59
2020-05-07,LR2(110K),47.92
2020-05-07,LR1(74K),42.09
2020-05-07,MR(50K),34.32
2020-04-30,VLCC(320K),88.47
2020-04-30,SUEZMAX(160K),58.31
2020-04-30,AFRAMAX(110K),46.74
2020-04-30,LR2(110K),48.05
2020-04-30,LR1(74K),41.95
2020-04-30,MR(50K),34.27
2020-04-23,VLCC(320K),88.89
2020-04-23,SUEZMAX(160K),58.85
2020-04-23,AFRAMAX(110K),47.12
2020-04-23,LR2(110K),48.5
2020-04-23,LR1(74K),42.08
2020-04-23,MR(50K),34.42
2020-04-16,VLCC(320K),89.13
2020-04-16,SUEZMAX(160K),58.92
2020-04-16,AFRAMAX(110K),47.21
2020-04-16,LR2(110K),48.58
2020-04-16,LR1(74K),42.2
2020-04-16,MR(50K),34.57
2020-04-09,VLCC(320K),89.23
2020-04-09,SUEZMAX(160K),59.0
2020-04-09,AFRAMAX(110K),47.38
2020-04-09,LR2(110K),48.66
2020-04-09,LR1(74K),42.52
2020-04-09,MR(50K),34.55
2020-04-02,VLCC(320K),89.34
2020-04-02,SUEZMAX(160K),58.91
2020-04-02,AFRAMAX(110K),47.39
2020-04-02,LR2(110K),48.88
2020-04-02,LR1(74K),41.98
2020-04-02,MR(50K),34.72
2020-03-26,VLCC(320K),89.48
2020-03-26,SUEZMAX(160K),59.11
2020-03-26,AFRAMAX(110K),47.46
2020-03-26,LR2(110K),48.95
2020-03-26,LR1(74K),42.18
2020-03-26,MR(50K),34.81
2020-03-19,VLCC(320K),89.54
2020-03-19,SUEZMAX(160K),59.06
2020-03-19,AFRAMAX(110K),47.49
2020-03-19,LR2(110K),48.98
2020-03-19,LR1(74K),42.22
2020-03-19,MR(50K),34.88
2020-03-12,VLCC(320K),89.45
2020-03-12,SUEZMAX(160K),59.12
2020-03-12,AFRAMAX(110K),47.41
2020-03-12,LR2(110K),49.16
2020-03-12,LR1(74K),42.43
2020-03-12,MR(50K),35.01
2020-03-05,VLCC(320K),89.4
2020-03-05,SUEZMAX(160K),59.26
2020-03-05,AFRAMAX(110K),47.55
2020-03-05,LR2(110K),48.97
2020-03-05,LR1(74K),42.4
2020-03-05,MR(50K),34.96
2020-02-27,VLCC(320K),89.65
2020-02-27,SUEZMAX(160K),59.58
2020-02-27,AFRAMAX(110K),47.62
2020-02-27,LR2(110K),48.96
2020-02-27,LR1(74K),42.42
2020-02-27,MR(50K),34.9
2020-02-20,VLCC(320K),89.79
2020-02-20,SUEZMAX(160K),59.6
2020-02-20,AFRAMAX(110K),47.64
2020-02-20,LR2(110K),48.85
2020-02-20,LR1(74K),42.5
2020-02-20,MR(50K),34.91
2020-02-13,VLCC(320K),89.83
2020-02-13,SUEZMAX(160K),59.66
2020-02-13,AFRAMAX(110K),47.69
2020-02-13,LR2(110K),48.87
2020-02-13,LR1(74K),42.51
2020-02-13,MR(50K),34.87
2020-02-06,VLCC(320K),89.94
2020-02-06,SUEZMAX(160K),59.73
2020-02-06,AFRAMAX(110K),47.78
2020-02-06,LR2(110K),48.93
2020-02-06,LR1(74K),42.56
2020-02-06,MR(50K),34.96
2020-01-30,VLCC(320K),90.29
2020-01-30,SUEZMAX(160K),59.86
2020-01-30,AFRAMAX(110K),47.83
2020-01-30,LR2(110K),48.96
2020-01-30,LR1(74K),42.69
2020-01-30,MR(50K),35.2
2020-01-23,VLCC(320K),90.37
2020-01-23,SUEZMAX(160K),59.97
2020-01-23,AFRAMAX(110K),47.83
2020-01-23,LR2(110K),49.01
2020-01-23,LR1(74K),42.69
2020-01-23,MR(50K),35.22
2020-01-16,VLCC(320K),90.52
2020-01-16,SUEZMAX(160K),60.2
2020-01-16,AFRAMAX(110K),48.01
2020-01-16,LR2(110K),49.06
2020-01-16,LR1(74K),42.78
2020-01-16,MR(50K),35.61
2020-01-09,VLCC(320K),90.33
2020-01-09,SUEZMAX(160K),60.05
2020-01-09,AFRAMAX(110K),47.73
2020-01-09,LR2(110K),48.93
2020-01-09,LR1(74K),42.47
2020-01-09,MR(50K),35.17
2019-12-19,VLCC(320K),90.42
2019-12-19,SUEZMAX(160K),60.07
2019-12-19,AFRAMAX(110K),47.81
2019-12-19,LR2(110K),49.07
2019-12-19,LR1(74K),42.47
2019-12-19,MR(50K),35.28
2019-12-12,VLCC(320K),90.51
2019-12-12,SUEZMAX(160K),60.14
2019-12-12,AFRAMAX(110K),47.92
2019-12-12,LR2(110K),49.13
2019-12-12,LR1(74K),42.51
2019-12-12,MR(50K),35.34
2019-12-05,VLCC(320K),90.52
2019-12-05,SUEZMAX(160K),60.17
2019-12-05,AFRAMAX(110K),48.02
2019-12-05,LR2(110K),49.14
2019-12-05,LR1(74K),42.56
2019-12-05,MR(50K),35.43
2019-11-28,VLCC(320K),90.5
2019-11-28,SUEZMAX(160K),60.36
2019-11-28,AFRAMAX(110K),47.99
2019-11-28,LR2(110K),49.24
2019-11-28,LR1(74K),42.63
2019-11-28,MR(50K),35.56
2019-11-21,VLCC(320K),90.31
2019-11-21,SUEZMAX(160K),59.97
2019-11-21,AFRAMAX(110K),48.02
2019-11-21,LR2(110K),49.26
2019-11-21,LR1(74K),42.19
2019-11-21,MR(50K),35.27
2019-11-14,VLCC(320K),90.28
2019-11-14,SUEZMAX(160K),59.84
2019-11-14,AFRAMAX(110K),47.68
2019-11-14,LR2(110K),49.13
2019-11-14,LR1(74K),42.21
2019-11-14,MR(50K),35.26
2019-11-07,VLCC(320K),90.24
2019-11-07,SUEZMAX(160K),59.8
2019-11-07,AFRAMAX(110K),47.67
2019-11-07,LR2(110K),49.13
2019-11-07,LR1(74K),42.25
2019-11-07,MR(50K),35.29
2019-10-31,VLCC(320K),90.34
2019-10-31,SUEZMAX(160K),59.91
2019-10-31,AFRAMAX(110K),47.69
2019-10-31,LR2(110K),49.17
2019-10-31,LR1(74K),42.31
2019-10-31,MR(50K),35.41
2019-10-24,VLCC(320K),90.25
2019-10-24,SUEZMAX(160K),59.93
2019-10-24,AFRAMAX(110K),47.79
2019-10-24,LR2(110K),49.24
2019-10-24,LR1(74K),42.62
2019-10-24,MR(50K),35.41
2019-10-17,VLCC(320K),90.34
2019-10-17,SUEZMAX(160K),60.01
2019-10-17,AFRAMAX(110K),47.64
2019-10-17,LR2(110K),49.09
2019-10-17,LR1(74K),42.47
2019-10-17,MR(50K),35.41
2019-10-10,VLCC(320K),90.4
2019-10-10,SUEZMAX(160K),60.04
2019-10-10,AFRAMAX(110K),47.68
2019-10-10,LR2(110K),49.14
2019-10-10,LR1(74K),42.67
2019-10-10,MR(50K),35.47
2019-10-03,VLCC(320K),90.38
2019-10-03,SUEZMAX(160K),60.06
2019-10-03,AFRAMAX(110K),47.69
2019-10-03,LR2(110K),49.15
2019-10-03,LR1(74K),42.69
2019-10-03,MR(50K),35.47
2019-09-26,VLCC(320K),90.36
2019-09-26,SUEZMAX(160K),60.03
2019-09-26,AFRAMAX(110K),47.69
2019-09-26,LR2(110K),48.41
2019-09-26,LR1(74K),42.72
2019-09-26,MR(50K),35.46
2019-09-19,VLCC(320K),90.36
2019-09-19,SUEZMAX(160K),59.93
2019-09-19,AFRAMAX(110K),47.69
2019-09-19,LR2(110K),49.27
2019-09-19,LR1(74K),42.74
2019-09-19,MR(50K),35.49
2019-09-12,VLCC(320K),90.36
2019-09-12,SUEZMAX(160K),59.94
